reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e8951923-5e6a-40bb-9afa-cd67e740cd3d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,suka sekali aplikasi banyak sekali tutorial atau mengenai kegiatan hari-hari 😊😊 terimakasih lemon8 jangan di upgrade aplikasi yah...fiturnya agak kasih banyak sedikit,5,11,9.7.0,2025-10-16 09:33:29,,,9.7.0
230d2647-1df3-498e-8744-40ca5ec14a1c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Baru tau aplikasi lemon8 ternyata lebih sesimpel itu, memudahkan untuk bisa sharing dan menemukan berbagai resep masakan dll. so memudahkan hidup Anda bagi yang membutuhkan.",5,228,9.7.0,2025-10-04 03:24:36,,,9.7.0
ff1391f7-bcf7-4da5-9c39-62e6524a0533,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi ini sangat membantu sekali, dari perihal fashion, resep masakan, kecantikan,, ootd,, dll apapun yg saya butuhkan ada di sini,, mantap,, pertahankan terus yaa. saya sangat terinspirasi sekali dengan adanya aplikasi ini..❤️❤️",5,250,9.7.0,2025-10-04 12:14:21,,,9.7.0
360ca24f-cde4-4d3d-b1f0-d14bceb1e924,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sebenarnya aplikasinya bagus mirip dengan Instagram. Jeleknya setiap video yang kita upload selalu di bisukan dengan alasan tidak sah dan memaksa kita untuk menggunakan Lagu yang sudah di Siapkan, namum tidak sesuai karakter video yang kita Upload. padahal lagu yang kita gunakan pun itu dari Tiktok. No recommended",2,112,9.5.0,2025-09-06 23:56:57,,,9.5.0
73cf8812-d07e-4924-853f-80be24005ce5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Baru masuk lemon8. Selama ini masih oke,lemon8 banyak menginspirasi bagi penggunanya. Dan saya menyukainya karena beda saja dari yang lain. Lemon8 lebih ke personal nya yang nggak harus di suruh ini itu.Kalau campaign oke lah.Tapi aku pengguna lebih merasa berkembang nya akun di lemon8 ini mengalir secara alami gitu.Semoga ke depan nya semakin bagus dan semakin bermanfaat bagi semua penggunanya.Dan semakin berinovasi tentunya.",5,938,9.2.0,2025-07-30 08:41:36,,,9.2.0
655f648a-2bf4-4b80-9ea7-4d7c102385fd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya pengguna baru, masih pemula.. saya lihat dari banyak postingan.. bagus bagus menginspirasi juga membangun, banyak hal dan ilmunya bisa kita petik dan pelajari terimakasih lemon8",5,632,9.4.5,2025-09-02 10:26:32,,,9.4.5
dbfb03e6-99dc-4854-84c8-1f63ba25a75c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tidak bagus video masukin apapun suara tidak bisa buat kalau gitu mending hapus jangan download aplikasi ini gak guna harus dia yang atur sendiri kita gak bisa buat apa ini gak boleh itu gak boleh buat apa video masukin orang masukin video mau suara aslinya malah seenaknya ganti suara video ya👎🏼👎🏻👎,1,29,9.7.0,2025-10-02 23:05:56,,,9.7.0
22fe7355-28f0-44e7-93f7-fd0a0f82f4bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Coba bisa gabungin video dan foto sekali posting, trus klo bisa sekali post foto lebih dr 10, tambahin koleksi lagu donk, terima kasih",5,2,9.7.0,2025-10-13 11:46:14,,,9.7.0
baa2a083-a489-4447-8ba6-141c9bec352c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sejauh ini, lemon adalah aplikasi yang positif banget. banyak pelajaran, pengalaman, ide kreatif, bahkan cara mendapatkan uang lewat online yang mana sudah saya praktikan. kalian pasti tidak akan menyesal memakai aplikasi lemon ini",5,33,9.7.0,2025-10-13 04:35:56,,,9.7.0
415c16f4-2c58-4acb-a258-80c8a9657583,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bgus sumpa deehh, penuh banyak sesuatu yg bermanfaatttt, apa lagi buat para pelajar, ini penuh banyak tips buat belajar",5,0,9.7.0,2025-10-16 16:25:35,,,9.7.0
